date,lat,lon,place_name,product_name,price,unit,quote_id
"Apr 14, 2020",33.4484,-112.0740,"Phoenix Arizona, Arizona",Co-Oxycodone CR (imprinted OXY CR),$5,5mg pill,365490
"Apr 2, 2020",33.4484,-112.0740,"Phoenix Arizona, Arizona",Adderall,$10,20mg pill,364240
"Apr 14, 2020",38.2637,-98.4815,Kansas,Adderall XR (generic),$13,20mg pill,365487
"Apr 10, 2020",38.2637,-98.4815,Kansas,Xanax,$1.50,1mg pill,365138
"Apr 10, 2020",38.2637,-98.4815,Kansas,Xanax,$1.50,1mg pill,365137
"Apr 9, 2020",38.2637,-98.4815,Kansas,Adderall XR,$30,20mg pill,365059
"Apr 8, 2020",38.2637,-98.4815,Kansas,modafinil,$4,100mg pill,364921
"Apr 14, 2020",33.2671,-93.2393,"Magnolia, Arkansas",Adderall XR,$8,30mg pill,365486
"Apr 14, 2020",29.4241,-98.4936,"San Antonio, Texas",clonazepam,$5,0.5mg pill,365485
"Apr 13, 2020",29.4241,-98.4936,"San Antonio, Texas",dronabinol,$10,5mg pill,365440
"Apr 11, 2020",29.4241,-98.4936,"San Antonio, Texas",Marinol,$10,10mg pill,365206
"Apr 1, 2020",29.4241,-98.4936,"San Antonio, Texas",amphetamine pill,$5,10mg pill,364210
"Apr 1, 2020",29.4241,-98.4936,"San Antonio, Texas",Desoxyn,$5,5mg pill,364179
"Apr 14, 2020",33.7878,-117.8531,"Orange, California","oxycodone / acetaminophen tablet (generic Percocet, Percodan, Tylox)",$10,5mg/325mg pill,365484
"Apr 13, 2020",33.7878,-117.8531,"Orange, California",Adderall,$15,30mg pill,365383
"Apr 14, 2020",40.6706,-78.2386,"Tyrone, Pennsylvania",tizanidine,$2,4mg pill,365479
"Apr 14, 2020",37.7749,-122.4194,"San fransisco, California",Kadian,$5,30mg pill,365478
"Apr 14, 2020",35.4676,-97.5164,"Oklahoma City, Oklahoma",hydrocodone/acetaminophen tablet (generic Vicodin),$5,10mg/300mg pill,365477
"Apr 13, 2020",35.4676,-97.5164,"Oklahoma City, Oklahoma",morphine,$4,15mg pill,365445
"Apr 8, 2020",35.4676,-97.5164,"Oklahoma City, Oklahoma",amphetamine pill,$20,10mg pill,364951
"Apr 8, 2020",35.4676,-97.5164,"Oklahoma City, Oklahoma",Librium,$10,10mg pill,364882
"Apr 8, 2020",35.4676,-97.5164,"Oklahoma City, Oklahoma",fentanyl patch,$15,50mcg/h patch,364880
"Apr 14, 2020",35.0845,-106.6511,"Albuquerque, New Mexico",Adderall,$10,15mg pill,365476
"Apr 14, 2020",35.0845,-106.6511,"Albuquerque, New Mexico",Dilaudid tablet,$20,2mg pill,365475
"Apr 10, 2020",35.0845,-106.6511,"Albuquerque, New Mexico",fentanyl film,$75,200mcg film,365081
"Apr 8, 2020",35.0845,-106.6511,"Albuquerque, New Mexico",tizanidine,$10,4mg pill,364953
"Apr 8, 2020",35.0845,-106.6511,"Albuquerque, New Mexico",Adderall,$10,30mg pill,364918
"Apr 6, 2020",35.0845,-106.6511,"Albuquerque, New Mexico",Adderall (generic),$4,5mg pill,364688
"Apr 14, 2020",36.0999,-80.2442,"Winston Salem, North Carolina",Adderall,$6,30mg pill,365474
"Apr 9, 2020",36.0999,-80.2442,"Winston Salem, North Carolina",Suboxone (film),$20,8mg/2mg film,364974
"Apr 13, 2020",36.7473,-95.9808,"Bartlesville, Oklahoma",Adderall (generic),$2,20mg pill,365471
"Apr 13, 2020",34.4884,-105.9961,New Mexico,oxycodone,$7,10mg pill,365470
